,Sentiment,Time,Text,cleaned,cleaned2,label_x,label_y,predicted
44,negative,10/3/21,"SOMETHING TO EAT IF YOU'RE STARVING - BUT PLEASE GIVE REAL FOOD TO HUNGRY PEOPLE,<br /><br />What's in Kellogg's Corn Flakes? ""Milled Corn, Sugar, Malt Flavoring, High Fructose Corn Syrup, Salt."" Yes, of course, it also has lots of yummy preservatives such as BHT and a few synthetic vitamins and iron in minute quantities. For nutrition you get basically 100% Carbs from lots of SUGAR and almost NO PROTEIN. Add skim milk, or you'll get saturated fat with a little protein from whole milk. For added nutrition, include a sliced banana and a capful of wheat germ.<br /><br />If you like Corn Flakes, that is your business and you should enjoy them, but this is not health food and it is a very poor value for more than 0.29 cents an ounce [$3.49 per package]. At this price, the inner package's failure to maintain freshness is an even bigger drawback when one thinks of how long it may take to finish 12 ounces of this stuff. Why not use a vacuum-sealed container like Kretschmer's Wheat Germ to preserve freshness? After all, it's in the same price range!<br /><br />So if you are hungry, you are really eating the wrong stuff. SOMETHING TO EAT IF YOU ARE STARVING - BUT PLEASE GIVE REAL FOOD TO OTHER HUNGRY PEOPLE PLEASE!","['something', 'eat', 'starving', 'please', 'give', 'real', 'food', 'hungry', 'people', 'what', 'kellogg', 'corn', 'flake', 'milled', 'corn', 'sugar', 'malt', 'flavoring', 'high', 'fructose', 'corn', 'syrup', 'salt', 'yes', 'course', 'also', 'lot', 'yummy', 'preservative', 'bht', 'synthetic', 'vitamin', 'iron', 'minute', 'quantity', 'nutrition', 'get', 'basically', 'carbs', 'lot', 'sugar', 'almost', 'protein', 'add', 'skim', 'milk', 'get', 'saturated', 'fat', 'little', 'protein', 'whole', 'milk', 'added', 'nutrition', 'include', 'sliced', 'banana', 'capful', 'wheat', 'germ.', 'like', 'corn', 'flake', 'business', 'enjoy', 'them', 'health', 'food', 'poor', 'value', 'cent', 'ounce', 'per', 'package', 'price', 'inner', 'package', 'failure', 'maintain', 'freshness', 'even', 'bigger', 'drawback', 'one', 'think', 'long', 'may', 'take', 'finish', 'ounce', 'stuff', 'use', 'vacuum-sealed', 'container', 'like', 'kretschmer', 'wheat', 'germ', 'preserve', 'freshness', 'all', 'price', 'range', 'hungry', 'really', 'eating', 'wrong', 'stuff', 'something', 'eat', 'starving', 'please', 'give', 'real', 'food', 'hungry', 'people', 'please']",something eat starving please give real food hungry people what kellogg corn flake milled corn sugar malt flavoring high fructose corn syrup salt yes course also lot yummy preservative bht synthetic vitamin iron minute quantity nutrition get basically carbs lot sugar almost protein add skim milk get saturated fat little protein whole milk added nutrition include sliced banana capful wheat germ. like corn flake business enjoy them health food poor value cent ounce per package price inner package failure maintain freshness even bigger drawback one think long may take finish ounce stuff use vacuum-sealed container like kretschmer wheat germ preserve freshness all price range hungry really eating wrong stuff something eat starving please give real food hungry people please,0,0,1.0
47,positive,14/10/21,"I was really surprised when I tried this product because I found it to be a really light & fluffy batter. So don't think gluten free means flavorless, this Bisquick Pancake Mix will have you building up stacks of fluffy pancakes for your family. It's so nice that these are healthier for you, diabetic friendly and still manage to taste great too!","['really', 'surprised', 'tried', 'product', 'found', 'really', 'light', 'fluffy', 'batter', 'think', 'gluten', 'free', 'mean', 'flavorless', 'bisquick', 'pancake', 'mix', 'building', 'stack', 'fluffy', 'pancake', 'family', 'nice', 'healthier', 'you', 'diabetic', 'friendly', 'still', 'manage', 'taste', 'great', 'too']",really surprised tried product found really light fluffy batter think gluten free mean flavorless bisquick pancake mix building stack fluffy pancake family nice healthier you diabetic friendly still manage taste great too,1,1,1.0
61,positive,22/4/21,"If anyone is looking for delicious and healthy snack, Doctor Kracker is an answer.  However, the hard crispiness is for people with good teeth.","['anyone', 'looking', 'delicious', 'healthy', 'snack', 'doctor', 'kracker', 'answer', 'however', 'hard', 'crispiness', 'people', 'good', 'teeth']",anyone looking delicious healthy snack doctor kracker answer however hard crispiness people good teeth,1,1,1.0
63,positive,1/4/21,"Arrowhead Mills Organic Savory Herb stuffing has a very nice blend of herbs for a flavor that compliments chicken and turkey. I especially appreciate the fact that there are no transfats used in this stuffing so I and my family can enjoy it without worry! The stuffing is very easy to prepare, but really adds to the meal. We use it all year long. Why wait for a holiday to enjoy good food?","['arrowhead', 'mill', 'organic', 'savory', 'herb', 'stuffing', 'nice', 'blend', 'herb', 'flavor', 'compliment', 'chicken', 'turkey', 'especially', 'appreciate', 'fact', 'transfats', 'used', 'stuffing', 'family', 'enjoy', 'without', 'worry', 'stuffing', 'easy', 'prepare', 'really', 'add', 'meal', 'use', 'year', 'long', 'wait', 'holiday', 'enjoy', 'good', 'food']",arrowhead mill organic savory herb stuffing nice blend herb flavor compliment chicken turkey especially appreciate fact transfats used stuffing family enjoy without worry stuffing easy prepare really add meal use year long wait holiday enjoy good food,1,1,1.0
65,positive,1/3/21,"My dog has many food allergies, but these made-in-the-USA treats are free of wheat, corn, egg, and dairy.  My dog can't get enough of them.","['dog', 'many', 'food', 'allergy', 'made-in-the-usa', 'treat', 'free', 'wheat', 'corn', 'egg', 'dairy', 'dog', 'get', 'enough', 'them']",dog many food allergy made-in-the-usa treat free wheat corn egg dairy dog get enough them,1,1,1.0
69,positive,30/5/21,"I quit sodas over a year ago due to the unhealthiness of them.  I do, however, like bubbly drinks, but I don't need the sugar or sodium.  That's why this product is perfect.  It is 100% fruit juice, carbonated for the bubbliness.<br /><br />Orange is one of my favorite flavors.  This drink is the perfect drink.<br /><br />I think this product is even better than orange soda; orange soda is sticky, but this product is not.  It has the perfect amount of sharpness - which I love.  Because it is 100% fruit juice, it also has the perfect amount of natural sweetness.<br /><br />So this product is all the good things rolled into one:<br /><br />100% fruit juice<br />No added sugar<br />Bubbly<br />Awesome orange flavor<br /><br />It's so good, it's hard to believe you're drinking something healthy.","['quit', 'soda', 'year', 'ago', 'due', 'unhealthiness', 'them', 'however', 'like', 'bubbly', 'drink', 'need', 'sugar', 'sodium', 'that', 'product', 'perfect', 'fruit', 'juice', 'carbonated', 'bubbliness.', 'orange', 'one', 'favorite', 'flavor', 'drink', 'perfect', 'drink.', 'think', 'product', 'even', 'better', 'orange', 'soda', 'orange', 'soda', 'sticky', 'product', 'not', 'perfect', 'amount', 'sharpness', 'love', 'fruit', 'juice', 'also', 'perfect', 'amount', 'natural', 'sweetness.', 'product', 'good', 'thing', 'rolled', 'one', 'fruit', 'juice', 'added', 'sugar', 'bubbly', 'awesome', 'orange', 'flavor', 'good', 'hard', 'believe', 'drinking', 'something', 'healthy']",quit soda year ago due unhealthiness them however like bubbly drink need sugar sodium that product perfect fruit juice carbonated bubbliness. orange one favorite flavor drink perfect drink. think product even better orange soda orange soda sticky product not perfect amount sharpness love fruit juice also perfect amount natural sweetness. product good thing rolled one fruit juice added sugar bubbly awesome orange flavor good hard believe drinking something healthy,1,1,1.0
70,negative,28/9/21,"Unlike another product I reviewed for Vine, at least this product does not have sugar per se in it. It is carbonated water added to a concentrate mixture of (in this order): apple, grape, tangerine and last - as well as least -- acai concentrate. The first two on the list, apple and grape are two of the most common ""fruit"" sweeteners used in beverages etc. That is why the product tastes sweetened.<br /><br />It has 140 calories -- quite a lot for 8 oz of flavored carbonated water -- and all of it is from carbohydrates (36 grams) and over 90% of the carbs (34 grams) are sugars. Apple and grapes have some of the highest concentrations of ""fructose"" a fruit sugar that not only commonly appears in commercial beverages because it is sweeter than regular cane sugar and thus it is cheaper to use, but it is also known to cause diarrhea, particularly in children.<br /><br />So another drink on the hit parade of ""pretend"" healthy drinks- appealing to the masses' concern for their ever-growing girth -- and deluding them that this will help forestall continued growth.<br /><br />You are better off drinking diet coke. You would be even more better off buying the sparkling flavored waters with no calories. My favorite is Bella Familglia -- in pomegranate, lime, lemon and orange flavors -- and is sold from time to time on Amazon as well as your local supermarket.<br /><br />Better yet, buy some organic pure fruit juice -- such as pomegranate and pour  1/8 cup in a glass of your favorite sparking water or a quarter cup in a 16 oz bottle of your favorite sparkling water. At least it is the actual juice and not some fructose extract.","['unlike', 'another', 'product', 'reviewed', 'vine', 'least', 'product', 'sugar', 'per', 'carbonated', 'water', 'added', 'concentrate', 'mixture', 'order', 'apple', 'grape', 'tangerine', 'last', 'well', 'least', 'acai', 'concentrate', 'first', 'two', 'list', 'apple', 'grape', 'two', 'common', 'fruit', 'sweetener', 'used', 'beverage', 'etc', 'product', 'taste', 'sweetened.', 'calorie', 'quite', 'lot', 'flavored', 'carbonated', 'water', 'carbohydrate', 'gram', 'carbs', 'gram', 'sugar', 'apple', 'grape', 'highest', 'concentration', 'fructose', 'fruit', 'sugar', 'commonly', 'appears', 'commercial', 'beverage', 'sweeter', 'regular', 'cane', 'sugar', 'thus', 'cheaper', 'use', 'also', 'known', 'cause', 'diarrhea', 'particularly', 'children.', 'another', 'drink', 'hit', 'parade', 'pretend', 'healthy', 'drinks-', 'appealing', 'mass', 'concern', 'ever-growing', 'girth', 'deluding', 'help', 'forestall', 'continued', 'growth.', 'you', 'better', 'drinking', 'diet', 'coke', 'would', 'even', 'better', 'buying', 'sparkling', 'flavored', 'water', 'calorie', 'favorite', 'bella', 'familglia', 'pomegranate', 'lime', 'lemon', 'orange', 'flavor', 'sold', 'time', 'time', 'amazon', 'well', 'local', 'supermarket.', 'better', 'yet', 'buy', 'organic', 'pure', 'fruit', 'juice', 'pomegranate', 'pour', 'cup', 'glass', 'favorite', 'sparking', 'water', 'quarter', 'cup', 'bottle', 'favorite', 'sparkling', 'water', 'least', 'actual', 'juice', 'fructose', 'extract']",unlike another product reviewed vine least product sugar per carbonated water added concentrate mixture order apple grape tangerine last well least acai concentrate first two list apple grape two common fruit sweetener used beverage etc product taste sweetened. calorie quite lot flavored carbonated water carbohydrate gram carbs gram sugar apple grape highest concentration fructose fruit sugar commonly appears commercial beverage sweeter regular cane sugar thus cheaper use also known cause diarrhea particularly children. another drink hit parade pretend healthy drinks- appealing mass concern ever-growing girth deluding help forestall continued growth. you better drinking diet coke would even better buying sparkling flavored water calorie favorite bella familglia pomegranate lime lemon orange flavor sold time time amazon well local supermarket. better yet buy organic pure fruit juice pomegranate pour cup glass favorite sparking water quarter cup bottle favorite sparkling water least actual juice fructose extract,0,0,1.0
79,positive,22/5/21,"When I was told by my nutritionist that eating a handful of whole, natural almonds a day would help me to lose weight and get the right kind of fats and proteins implemented into my diet, I was a bit skeptical.  I was not a huge almond fan to begin with.  I don't particularly enjoy salted or roasted almonds.  Usually only the kind that come surrounded with coconut and chocolate or the kind that you get out of the nut bowl to shell around the holidays.  The Whole Natural almonds by Blue Diamond taste like they came right out of the shell and boy are they yummy.<br /><br />I like that they are a satisfying snack and I like the taste of them.  These are the ones I buy ... no added salt or anything.  Nice and fresh right out of the shell.<br /><br />5 stars.","['told', 'nutritionist', 'eating', 'handful', 'whole', 'natural', 'almond', 'day', 'would', 'help', 'lose', 'weight', 'get', 'right', 'kind', 'fat', 'protein', 'implemented', 'diet', 'bit', 'skeptical', 'huge', 'almond', 'fan', 'begin', 'with', 'particularly', 'enjoy', 'salted', 'roasted', 'almond', 'usually', 'kind', 'come', 'surrounded', 'coconut', 'chocolate', 'kind', 'get', 'nut', 'bowl', 'shell', 'around', 'holiday', 'whole', 'natural', 'almond', 'blue', 'diamond', 'taste', 'like', 'came', 'right', 'shell', 'boy', 'yummy.', 'like', 'satisfying', 'snack', 'like', 'taste', 'them', 'one', 'buy', '...', 'added', 'salt', 'anything', 'nice', 'fresh', 'right', 'shell.', 'star']",told nutritionist eating handful whole natural almond day would help lose weight get right kind fat protein implemented diet bit skeptical huge almond fan begin with particularly enjoy salted roasted almond usually kind come surrounded coconut chocolate kind get nut bowl shell around holiday whole natural almond blue diamond taste like came right shell boy yummy. like satisfying snack like taste them one buy ... added salt anything nice fresh right shell. star,1,1,1.0
80,positive,19/7/21,"If you want a truly healthy, filling snack, you must give these a try, as well as their sisters, the Vanilla Bean Almonds. They are both just lightly sweetened, and fragrant with either the cinnamon or the vanilla, depending on which you choose. The container is marvelous; there is a half flip top which is easy to do with one hand (like in the car). And they're not roasted in more oil, so the almonds are ""meaty"" and sweet. And almonds are SOOO good for you. I'd recommend that you try them, and then get an Amazon subscribe and save if you can. It's well worth it! And all natural. LOVELY!","['want', 'truly', 'healthy', 'filling', 'snack', 'must', 'give', 'try', 'well', 'sister', 'vanilla', 'bean', 'almond', 'lightly', 'sweetened', 'fragrant', 'either', 'cinnamon', 'vanilla', 'depending', 'choose', 'container', 'marvelous', 'half', 'flip', 'top', 'easy', 'one', 'hand', 'like', 'car', 'they', 'roasted', 'oil', 'almond', 'meaty', 'sweet', 'almond', 'sooo', 'good', 'you', 'recommend', 'try', 'them', 'get', 'amazon', 'subscribe', 'save', 'can', 'well', 'worth', 'natural', 'lovely']",want truly healthy filling snack must give try well sister vanilla bean almond lightly sweetened fragrant either cinnamon vanilla depending choose container marvelous half flip top easy one hand like car they roasted oil almond meaty sweet almond sooo good you recommend try them get amazon subscribe save can well worth natural lovely,1,1,1.0
84,positive,25/5/21,"My review is for the Cinnamon cookie in the small bag.  I love them!!!  I do not have gluten issues, but I like the fact that the cookies are gluten free.  They are crunchy and satisfy my desire for something sweet.  Only 130 caloriesand 4.5 g of fat in three cookies.  Each pack has 4 cookies.  1.5 g of saturated fat, 0 trans fat, 0 cholesterol, 180 mg sodium, 1 g fiber, 21 g of carbs, and 2 g of protein.  Yummy, every bite.  Starbucks carries them sporadically, and I am so glad to be able to buy them from  Amazon!","['review', 'cinnamon', 'cookie', 'small', 'bag', 'love', 'them', 'gluten', 'issue', 'like', 'fact', 'cooky', 'gluten', 'free', 'crunchy', 'satisfy', 'desire', 'something', 'sweet', 'caloriesand', 'fat', 'three', 'cooky', 'pack', 'cooky', 'saturated', 'fat', 'trans', 'fat', 'cholesterol', 'sodium', 'fiber', 'carbs', 'protein', 'yummy', 'every', 'bite', 'starbucks', 'carry', 'sporadically', 'glad', 'able', 'buy', 'amazon']",review cinnamon cookie small bag love them gluten issue like fact cooky gluten free crunchy satisfy desire something sweet caloriesand fat three cooky pack cooky saturated fat trans fat cholesterol sodium fiber carbs protein yummy every bite starbucks carry sporadically glad able buy amazon,1,1,1.0
