,Sentiment,Time,Text,cleaned
10,positive,7/7/21,These chips are the only ones I found to be tasty and healthy. They have fewer fat calories plus higher fiber for those who want good taste and nutrition--the perfect blend!,"['chip', 'one', 'found', 'tasty', 'healthy', 'fewer', 'fat', 'calorie', 'plus', 'higher', 'fiber', 'want', 'good', 'taste', 'nutrition--the', 'perfect', 'blend']"
11,positive,27/6/21,"I used to buy these at the local supermarket, but they are no longer carried there.  Finding them on Amazon I purchased a box and found they were fresh and delicious as I remembered.  For chips they are also very healthy.  I definately will buy them again.","['used', 'buy', 'local', 'supermarket', 'longer', 'carried', 'there', 'finding', 'amazon', 'purchased', 'box', 'found', 'fresh', 'delicious', 'remembered', 'chip', 'also', 'healthy', 'definately', 'buy', 'again']"
12,positive,21/7/21,"I've been feeding liver biscotti for years. I was looking for a healthy treat without additives for my epileptic dog (additives can be a seizure trigger) and liver biscotti filled the bill. The ingredients are top-quality. The bite-size bits are perfect for training and don't muck up your pockets. The bite-size portions also make it possible to give rewards without adding pounds, which is a problem with other treats.  And for dogs with wheat and other sensitivities, there is an anti-allergenic recipe. Enthusiastically recommended!","['feeding', 'liver', 'biscotti', 'year', 'looking', 'healthy', 'treat', 'without', 'additive', 'epileptic', 'dog', 'additive', 'seizure', 'trigger', 'liver', 'biscotti', 'filled', 'bill', 'ingredient', 'top-quality', 'bite-size', 'bit', 'perfect', 'training', 'muck', 'pocket', 'bite-size', 'portion', 'also', 'make', 'possible', 'give', 'reward', 'without', 'adding', 'pound', 'problem', 'treat', 'dog', 'wheat', 'sensitivity', 'anti-allergenic', 'recipe', 'enthusiastically', 'recommended']"
13,positive,18/6/21,"I got these for my gf as she isn't supposed to eat any gluten.  All of the flavors taste great and they seem to be much healthier than regular potato chips.  If you are looking for a gluten-free snack, I highly recommend Popchips!","['got', 'supposed', 'eat', 'gluten', 'flavor', 'taste', 'great', 'seem', 'much', 'healthier', 'regular', 'potato', 'chip', 'looking', 'gluten-free', 'snack', 'highly', 'recommend', 'popchips']"
14,positive,7/7/21,"I have a free sampling of these chips and I can see me swapping them for my regular chip cravings. They remind me of Munchos, but are less greasy. Try them.","['free', 'sampling', 'chip', 'see', 'swapping', 'regular', 'chip', 'craving', 'remind', 'munchos', 'greasy', 'try', 'them']"
15,positive,30/6/21,"I tried this chips in a hotel that I stayed at, and loved them! I ordered them for the office and everyone enjoyed them. I'm on my second order!","['tried', 'chip', 'hotel', 'stayed', 'loved', 'them', 'ordered', 'office', 'everyone', 'enjoyed', 'them', 'second', 'order']"
16,positive,1/7/21,"I absolutely love Pop Chips as a healthy alternative to regular, fatty chips.  The Seat Salt and Pepper and the Sour Cream and Onion are my favorites.  I don't crave regular chips at all!","['absolutely', 'love', 'pop', 'chip', 'healthy', 'alternative', 'regular', 'fatty', 'chip', 'seat', 'salt', 'pepper', 'sour', 'cream', 'onion', 'favorite', 'crave', 'regular', 'chip', 'all']"
17,positive,24/8/21,"I picked up a few bags of these at my local HEB and couldnt help but consume half of a bag in a day. The entire stock didnt last even a week for me.<br /><br />Many chips say they have a bold flavor but they never deliver. These, however, do. I tried the Garlic Parmessan chips and the first things I thought was how strong and delicious the parmessan was.. shortly followed by a garlic flavor. Combined with a sharp crunch, I cannot have enough of these chips. I'm almost afraid to buy a 24 pack because I know they won't last a month.<br /><br />It also helps that these things are pretty healthy for you. I mean, they are a potato crisp so you can't be entirely guilt-free... but I don't knock myself for going to town. I just avoid the potato chip aisle these are on when I need to lay low on the snack foods ;)","['picked', 'bag', 'local', 'heb', 'couldnt', 'help', 'consume', 'half', 'bag', 'day', 'entire', 'stock', 'didnt', 'last', 'even', 'week', 'many', 'chip', 'say', 'bold', 'flavor', 'never', 'deliver', 'these', 'however', 'tried', 'garlic', 'parmessan', 'chip', 'first', 'thing', 'thought', 'strong', 'delicious', 'parmessan', 'shortly', 'followed', 'garlic', 'flavor', 'combined', 'sharp', 'crunch', 'cannot', 'enough', 'chip', 'almost', 'afraid', 'buy', 'pack', 'know', 'last', 'month', 'also', 'help', 'thing', 'pretty', 'healthy', 'you', 'mean', 'potato', 'crisp', 'entirely', 'guilt-free', '...', 'knock', 'going', 'town', 'avoid', 'potato', 'chip', 'aisle', 'need', 'lay', 'low', 'snack', 'food']"
18,positive,21/7/21,I love these chips! They always make a great healthy snack when I'm stuck at work with just the vending machine for sustenance.,"['love', 'chip', 'always', 'make', 'great', 'healthy', 'snack', 'stuck', 'work', 'vending', 'machine', 'sustenance']"
19,positive,25/6/21,"The 'Sun Chips' are an OK substitute for the usual potato, corn, whatever chip cooked in oil and over salted.  They are not nearly as un-palatable as I thought they would be.  Have added them to my 'heart healthy' diet regime.  All are good except for the 'multi-grain' style, which has the texture of a sheet of plywood.","['sun', 'chip', 'substitute', 'usual', 'potato', 'corn', 'whatever', 'chip', 'cooked', 'oil', 'salted', 'nearly', 'un-palatable', 'thought', 'would', 'added', 'heart', 'healthy', 'diet', 'regime', 'good', 'except', 'multi-grain', 'style', 'texture', 'sheet', 'plywood']"
20,positive,13/9/21,"This chips are really good and it's fun getting the variety pack.  Now, are they as good as ""regular"" chips?  Probably not, but they're also not nearly as fattening and bad for you as regular chips.  Given that these are a healthier version if you want chips, I would highly recommend them!","['chip', 'really', 'good', 'fun', 'getting', 'variety', 'pack', 'now', 'good', 'regular', 'chip', 'probably', 'not', 'also', 'nearly', 'fattening', 'bad', 'regular', 'chip', 'given', 'healthier', 'version', 'want', 'chip', 'would', 'highly', 'recommend', 'them']"
21,positive,18/6/21,"Tried the BBQ Popchips for the first time and loved them so got the value pack to try more flavors. Loved them all except the salt and pepper chips which weren't that great. Good healthy snack without giving up the taste. So glad I discovered these! Salt and vinegar are my favorite! 100 cal/bag, 3.5g fat/bag","['tried', 'bbq', 'popchips', 'first', 'time', 'loved', 'got', 'value', 'pack', 'try', 'flavor', 'loved', 'except', 'salt', 'pepper', 'chip', 'great', 'good', 'healthy', 'snack', 'without', 'giving', 'taste', 'glad', 'discovered', 'these', 'salt', 'vinegar', 'favorite', 'cal', 'bag', 'fat', 'bag']"
22,positive,7/7/21,"We'll see how these work out in our family over time. I'm not sure that I am disciplined enough to make good use of them, although it might be a good technique for teaching my dog. They appear to be good for what they are, a very tiny, but healthy, reward. Right now I can visualize them being used as a reward for following commands, a training tool. I was surprised at how tiny these treats were. They seem to taste good enough, but they are miniscule! They are just a fraction longer than a small paperclip and about half as wide, maybe 1/4 as thick.<br /><br />My dog was a little annoyed, but took it when I gave it to him. That was yesterday. Today he came in excited to get his ""treat"", looked at it as if to say, ""You've GOT to be KIDDING!"" Then he took it and ate it. A little later I offered him another one. He put it on the floor and looked hopefully at his stash of larger treats, but when he didn't get one, he went back and took this one.<br /><br />I think these might be good for rewards for obeying commands. Treats? That's stretching it.<br /><br />They may also be good for my son's dog who rarely gets treats because she's overweight and would eat the whole entire refrigerator full of food if allowed. At least she would get a treat. Large treats take her 5 seconds. She'll probably inhale these, one second max.<br /><br />I like the fact that these are low-fat, with no added salt, no refined sugar, no artificial flavors, colors or preservatives. It says, ""Treats Baked With Natural Peanut Butter.""","['see', 'work', 'family', 'time', 'sure', 'disciplined', 'enough', 'make', 'good', 'use', 'them', 'although', 'might', 'good', 'technique', 'teaching', 'dog', 'appear', 'good', 'are', 'tiny', 'healthy', 'reward', 'right', 'visualize', 'used', 'reward', 'following', 'command', 'training', 'tool', 'surprised', 'tiny', 'treat', 'were', 'seem', 'taste', 'good', 'enough', 'miniscule', 'fraction', 'longer', 'small', 'paperclip', 'half', 'wide', 'maybe', 'thick', 'dog', 'little', 'annoyed', 'took', 'gave', 'him', 'yesterday', 'today', 'came', 'excited', 'get', 'treat', 'looked', 'say', 'got', 'kidding', 'took', 'ate', 'little', 'later', 'offered', 'another', 'one', 'put', 'floor', 'looked', 'hopefully', 'stash', 'larger', 'treat', 'get', 'one', 'went', 'back', 'took', 'one', 'think', 'might', 'good', 'reward', 'obeying', 'command', 'treat', ""that's"", 'stretching', 'they', 'may', 'also', 'good', ""son's"", 'dog', 'rarely', 'get', 'treat', 'overweight', 'would', 'eat', 'whole', 'entire', 'refrigerator', 'full', 'food', 'allowed', 'least', 'would', 'get', 'treat', 'large', 'treat', 'take', 'second', 'probably', 'inhale', 'these', 'one', 'second', 'max', 'like', 'fact', 'low-fat', 'added', 'salt', 'refined', 'sugar', 'artificial', 'flavor', 'color', 'preservative', 'say', 'treat', 'baked', 'natural', 'peanut', 'butter']"
23,positive,15/7/21,"I am a mom of 3 kids. With my older two I had such a hard time finding a snack for them that didn't have so much sodium! When my 3rd came along, HappyFamily introduced HappyMunchies. I was so thankful to find a snack low in sodium and with a vegetable too! And to top it off, it is organic so I know it is free of pesticide residue and GMOs!","['mom', 'kid', 'older', 'two', 'hard', 'time', 'finding', 'snack', 'much', 'sodium', 'came', 'along', 'happyfamily', 'introduced', 'happymunchies', 'thankful', 'find', 'snack', 'low', 'sodium', 'vegetable', 'too', 'top', 'off', 'organic', 'know', 'free', 'pesticide', 'residue', 'gmos']"
24,positive,11/7/21,"We love these baby food things in a little pouch. Sooooo much easier to feed to a baby or toddler on the go. Our son loves sucking the fruit out and we are pleased that it is both organic and healthy with nothing added - just fruit. For smaller ones, not good to let them handle it themselves, because they love to squeeze it, which gets things everywhere. But older ones can feed to themselves. I like the 3.17 size rather than the bigger one that Plum Organics has for some of the other flavors. It assures that he will eat all or most of it in one sitting rather than having to save some for later. You can also take this size on airplanes without having to have it tested for explosives - not the case with the bigger pouches. I also like that it is BPA free. If your little one likes them, ordering in bulk and with subscribe and save makes them much cheaper than at the store.","['love', 'baby', 'food', 'thing', 'little', 'pouch', 'sooooo', 'much', 'easier', 'feed', 'baby', 'toddler', 'son', 'love', 'sucking', 'fruit', 'pleased', 'organic', 'healthy', 'nothing', 'added', 'fruit', 'smaller', 'one', 'good', 'let', 'handle', 'themselves', 'love', 'squeeze', 'get', 'thing', 'everywhere', 'older', 'one', 'feed', 'themselves', 'like', 'size', 'rather', 'bigger', 'one', 'plum', 'organic', 'flavor', 'assures', 'eat', 'one', 'sitting', 'rather', 'save', 'later', 'also', 'take', 'size', 'airplane', 'without', 'tested', 'explosive', 'case', 'bigger', 'pouch', 'also', 'like', 'bpa', 'free', 'little', 'one', 'like', 'them', 'ordering', 'bulk', 'subscribe', 'save', 'make', 'much', 'cheaper', 'store']"
25,positive,7/10/21,"I love VitaMuffins, but my supermarket sells one box of 4 muffins for $6.29.  Instead I bought the mix, 3 boxes for $16.00, and each box makes 12 muffins. Instead of $1.62 per muffin, the mix only requires water & eggs and works out to about 48 cents per muffin, and very easy to make. That's a great deal.","['love', 'vitamuffins', 'supermarket', 'sell', 'one', 'box', 'muffin', 'instead', 'bought', 'mix', 'box', 'box', 'make', 'muffin', 'instead', 'per', 'muffin', 'mix', 'requires', 'water', 'egg', 'work', 'cent', 'per', 'muffin', 'easy', 'make', ""that's"", 'great', 'deal']"
26,positive,6/7/21,"I generally like vitalicious products. The corn muffin, well, for 100 calories it's not bad. But if you are expecting anything like the sugar/fat laden junk that your local bakery sells, look elsewhere. this is like a healthy makeover that doesn't quite cut it, but they're not bad. For the same amount of calories, the chocolate one is more of an indulgence, but this one is good for a bland breakfast treat, especially baked fresh.<br />My kids are happy to get any extra snacks, so they approve...i send with them to school for a midmorning snack. im glad they get fuel and vitamins.","['generally', 'like', 'vitalicious', 'product', 'corn', 'muffin', 'well', 'calorie', 'bad', 'expecting', 'anything', 'like', 'sugar', 'fat', 'laden', 'junk', 'local', 'bakery', 'sell', 'look', 'elsewhere', 'like', 'healthy', 'makeover', 'quite', 'cut', 'bad', 'amount', 'calorie', 'chocolate', 'one', 'indulgence', 'one', 'good', 'bland', 'breakfast', 'treat', 'especially', 'baked', 'fresh', 'kid', 'happy', 'get', 'extra', 'snack', 'approve', '...', 'send', 'school', 'midmorning', 'snack', 'glad', 'get', 'fuel', 'vitamin']"
27,positive,18/6/21,"My dog had been prone to ear infections and did a lot of paw chewing when his vet recommended changing his diet because his symptoms may be due to a food allergy. She specifically recommended the salmon and rice formula. Unfortunately, my dog hated the salmon and rice and it smelt extremely fishy. I tried the lamb and rice formula and he likes it much better. I've heard numerous good things about Wellness from my dog trainer, as well as other pet owners and pet store employees. My dog is adjusting to the new food well. However, I can tell he doesn't consider it the most tasty of choices- probably because it doesn't have the artificial flavoring in it. But I'd rather him eat something much healthier even if we have to sacrifice a little on the taste.","['dog', 'prone', 'ear', 'infection', 'lot', 'paw', 'chewing', 'vet', 'recommended', 'changing', 'diet', 'symptom', 'may', 'due', 'food', 'allergy', 'specifically', 'recommended', 'salmon', 'rice', 'formula', 'unfortunately', 'dog', 'hated', 'salmon', 'rice', 'smelt', 'extremely', 'fishy', 'tried', 'lamb', 'rice', 'formula', 'like', 'much', 'better', 'heard', 'numerous', 'good', 'thing', 'wellness', 'dog', 'trainer', 'well', 'pet', 'owner', 'pet', 'store', 'employee', 'dog', 'adjusting', 'new', 'food', 'well', 'however', 'tell', 'consider', 'tasty', 'choice', 'probably', 'artificial', 'flavoring', 'rather', 'eat', 'something', 'much', 'healthier', 'even', 'sacrifice', 'little', 'taste']"
28,positive,7/7/21,"<span class=""tiny""> Length:: 1:00 Mins<br /><br /></span>These cookies are so great! Watch our video to see how great they really are!!!","['span', 'class', 'tiny', 'length', 'min', '</span>', 'these', 'cooky', 'great', 'watch', 'video', 'see', 'great', 'really', 'are']"
29,positive,27/7/21,"Actually, Sojo's strongly recommends that the meat you add to their mixes be raw, but it an be cooked as I choose to do.  My dog arrived with coccidia and giardia as a puppy.  Through veterinary mismanagement, he was never completely healthy for the first 2 1/2 years of his life.  After watching him get sicker on an aggressive course of antibiotics and prednisone for his Inflammatory Bowel Disease, I took him to a holistic veterinarian.  Part of his treatment has been a homemade diet of Sojo's and meat plus no medications.  I'm extremely pleased to report he has had no GI episodes in over 6 months and has reached a point where I consider him healthy.  His coat is glossy and much fluffier than before he's finally at a good weight.  I have before and after photos that show a dramatic improvement,much of which I credit to Sojo's.<br /><br />It does take some extra time to prepare as opposed to kibble, but I make 4 days worth at a time. This takes me about 30 - 40 minutes total which includes down time while the meat is cooking and cleaning up after.  To be completely honest, I'm not thrilled about cooking for my dog but I am thrilled with the results.  If I was able to feed him raw (perhaps down the road, when our vet gives the ok), preparation time would  be almost nothing.","['actually', ""sojo's"", 'strongly', 'recommends', 'meat', 'add', 'mix', 'raw', 'cooked', 'choose', 'dog', 'arrived', 'coccidia', 'giardia', 'puppy', 'veterinary', 'mismanagement', 'never', 'completely', 'healthy', 'first', 'year', 'life', 'watching', 'get', 'sicker', 'aggressive', 'course', 'antibiotic', 'prednisone', 'inflammatory', 'bowel', 'disease', 'took', 'holistic', 'veterinarian', 'part', 'treatment', 'homemade', 'diet', ""sojo's"", 'meat', 'plus', 'medication', 'extremely', 'pleased', 'report', 'episode', 'month', 'reached', 'point', 'consider', 'healthy', 'coat', 'glossy', 'much', 'fluffier', ""he's"", 'finally', 'good', 'weight', 'photo', 'show', 'dramatic', 'improvement', 'much', 'credit', ""sojo's"", 'take', 'extra', 'time', 'prepare', 'opposed', 'kibble', 'make', 'day', 'worth', 'time', 'take', 'minute', 'total', 'includes', 'time', 'meat', 'cooking', 'cleaning', 'after', 'completely', 'honest', 'thrilled', 'cooking', 'dog', 'thrilled', 'result', 'able', 'feed', 'raw', 'perhaps', 'road', 'vet', 'give', 'preparation', 'time', 'would', 'almost', 'nothing']"
30,positive,13/7/21,"It's also a routine baking ingredient. I put it into my bread along with sunflower seeds and organic wheat flour. I also put it into my smoothie, stir fry dishes....anything you can think of! Good price and really, it's a must have for a healthy diet!","['also', 'routine', 'baking', 'ingredient', 'put', 'bread', 'along', 'sunflower', 'seed', 'organic', 'wheat', 'flour', 'also', 'put', 'smoothie', 'stir', 'fry', 'dish', '...', 'anything', 'think', 'good', 'price', 'really', 'must', 'healthy', 'diet']"
31,positive,13/9/21,I have tryed the Almond Crunch and is delicious and healthy snack better than chips Try it you'll agree,"['tryed', 'almond', 'crunch', 'delicious', 'healthy', 'snack', 'better', 'chip', 'try', 'agree']"
32,positive,7/9/21,I use the powdered tea powder in my fruit smoothies.  Provides you all the health benefits of green tea.  Love the product and use both the plain and lemon ginger.,"['use', 'powdered', 'tea', 'powder', 'fruit', 'smoothy', 'provides', 'health', 'benefit', 'green', 'tea', 'love', 'product', 'use', 'plain', 'lemon', 'ginger']"
33,positive,17/4/21,"Green tea is good for you, loaded with antioxidants, boosts your metabolism, yadda, yadda, yadda, but I never quite warmed up to the taste.  Until now.  The lemon and the ginger give this a very nice flavor.  And it is SO great that I can just add a packet to my water bottle and go, without the bother of brewing it.","['green', 'tea', 'good', 'you', 'loaded', 'antioxidant', 'boost', 'metabolism', 'yadda', 'yadda', 'yadda', 'never', 'quite', 'warmed', 'taste', 'now', 'lemon', 'ginger', 'give', 'nice', 'flavor', 'great', 'add', 'packet', 'water', 'bottle', 'without', 'bother', 'brewing']"
34,positive,10/3/21,"I eat a lot of cereal, and that includes a lot of the high-fiber kinds. Oatmeal, Mini (Frosted) Shredded Wheat and Raisin Bran are usually what I'd eat when I needed to lose a few lbs., but there have been a few instances where I tried the ""healthier"" options. I've tried several of the Kashi cereals, but they weren't very appetizing. The plain one had a cardboard taste. Next, I tried Grape Nuts, which is like a horrendous yeast flavored cat food (though it's closer to kitty litter in texture.) That brings me to FiberPlus Antioxidants.<br /><br />This Berry Yogurt Crunch is certainly one of the better tasting high-fiber cereals I've eaten. It's like a decent health bar broken apart into cereal. The clusters of yogurt really help, but even the plain cereal is decent enough on its own. Yes, there are 12g of Sugar per serving, but the 10g of Fiber and 170 Calorie parts more than make up for it. Especially if you compare it to Raisin Bran and Frosted Shredded Wheat, which are typically higher in Sugar and Calories, yet lower in dietary fiber. The antioxidants are a nice bonus, too.<br /><br />The bottom line is that I'll add this to my grocery list whenever it's on sale or the price is right.","['eat', 'lot', 'cereal', 'includes', 'lot', 'high-fiber', 'kind', 'oatmeal', 'mini', 'frosted', 'shredded', 'wheat', 'raisin', 'bran', 'usually', 'eat', 'needed', 'lose', 'instance', 'tried', 'healthier', 'option', 'tried', 'several', 'kashi', 'cereal', 'appetizing', 'plain', 'one', 'cardboard', 'taste', 'next', 'tried', 'grape', 'nut', 'like', 'horrendous', 'yeast', 'flavored', 'cat', 'food', 'though', 'closer', 'kitty', 'litter', 'texture', 'brings', 'fiberplus', 'antioxidant', 'this', 'berry', 'yogurt', 'crunch', 'certainly', 'one', 'better', 'tasting', 'high-fiber', 'cereal', 'eaten', 'like', 'decent', 'health', 'bar', 'broken', 'apart', 'cereal', 'cluster', 'yogurt', 'really', 'help', 'even', 'plain', 'cereal', 'decent', 'enough', 'own', 'yes', 'sugar', 'per', 'serving', 'fiber', 'calorie', 'part', 'make', 'especially', 'compare', 'raisin', 'bran', 'frosted', 'shredded', 'wheat', 'typically', 'higher', 'sugar', 'calorie', 'yet', 'lower', 'dietary', 'fiber', 'antioxidant', 'nice', 'bonus', 'too', 'the', 'bottom', 'line', 'add', 'grocery', 'list', 'whenever', 'sale', 'price', 'right']"
35,positive,17/4/21,"I don't know why Science Diet is being referred to as junk food, as it is one of the higher quality foods on the market. A lot of the new organic and natural cat foods are not as healthy for pets as they are cracked up to be. But regardless, my veterinarian wanted me to put my 2 year old cat on a prescription food because of the high count of crystals in her urine. After some comparisons, Science Diet Mature Adult active longevity is the closest to the prescription food. Both my cats, the younger one and the older (10) are on this food and they seem to enjoy it. They both graze all day and are indoor cats so i try my best not to overfeed them. My younger cat has not had issues with her urine since she went on this food and we are all happy :)","['know', 'science', 'diet', 'referred', 'junk', 'food', 'one', 'higher', 'quality', 'food', 'market', 'lot', 'new', 'organic', 'natural', 'cat', 'food', 'healthy', 'pet', 'cracked', 'regardless', 'veterinarian', 'wanted', 'put', 'year', 'old', 'cat', 'prescription', 'food', 'high', 'count', 'crystal', 'urine', 'comparison', 'science', 'diet', 'mature', 'adult', 'active', 'longevity', 'closest', 'prescription', 'food', 'cat', 'younger', 'one', 'older', 'food', 'seem', 'enjoy', 'graze', 'day', 'indoor', 'cat', 'try', 'best', 'overfeed', 'them', 'younger', 'cat', 'issue', 'urine', 'since', 'went', 'food', 'happy']"
36,positive,21/1/21,"These chocolate sandwich creme cookies by WhoNu? are every bit as delicious as similar brands but they are healthier for you. True, they have almost the same sugar, fat and carb amounts of the best-known name brand of these cookies; but as others have noted they also give you fiber with noticeably more vitamins and minerals than that other brand. This is a plus!<br /><br />They're really good as a snack and it's hard to stop at the serving size of just three cookies; but I guess I'm allowed an occasional guilty pleasure! As I write this they are a bit too expensive on this website; try looking for these cookies elsewhere unless you want the convenience of having them shipped to your door.<br /><br />Overall, these awesome chocolate sandwich creme cookies by WhoNu? are the best! I definitely recommend them as an excellent, healthier alternative to the major name brand of this type of cookie.<br /><br />I love `em! Enjoy!","['chocolate', 'sandwich', 'creme', 'cooky', 'whonu', 'every', 'bit', 'delicious', 'similar', 'brand', 'healthier', 'you', 'true', 'almost', 'sugar', 'fat', 'carb', 'amount', 'best-known', 'name', 'brand', 'cooky', 'others', 'noted', 'also', 'give', 'fiber', 'noticeably', 'vitamin', 'mineral', 'brand', 'plus', 'really', 'good', 'snack', 'hard', 'stop', 'serving', 'size', 'three', 'cooky', 'guess', 'allowed', 'occasional', 'guilty', 'pleasure', 'write', 'bit', 'expensive', 'website', 'try', 'looking', 'cooky', 'elsewhere', 'unless', 'want', 'convenience', 'shipped', 'door', 'overall', 'awesome', 'chocolate', 'sandwich', 'creme', 'cooky', 'whonu', 'best', 'definitely', 'recommend', 'excellent', 'healthier', 'alternative', 'major', 'name', 'brand', 'type', 'cookie', 'love', 'enjoy']"
37,positive,30/1/21,We like this brownie mix and I usually use the low fat recipe on it. I also add chocolate chips or something else to it otherwise it ends up a little bit dry.<br /><br />We still buy this by the case.,"['like', 'brownie', 'mix', 'usually', 'use', 'low', 'fat', 'recipe', 'also', 'add', 'chocolate', 'chip', 'something', 'else', 'otherwise', 'end', 'little', 'bit', 'dry', 'still', 'buy', 'case']"
38,positive,13/2/21,"These brownies are good, but the flax seed texture can be a real turn-off.  To minimize it, I added a little whole wheat flour, splenda and cocoa - BIG improvement and my guests never complained (like they did the first time I made the brownies!).","['brownie', 'good', 'flax', 'seed', 'texture', 'real', 'turn-off', 'minimize', 'added', 'little', 'whole', 'wheat', 'flour', 'splenda', 'cocoa', 'big', 'improvement', 'guest', 'never', 'complained', 'like', 'first', 'time', 'made', 'brownie']"
