,Sentiment,Time,cleaned,Text
10,positive,7/7/21,"['blend', 'fiber', 'tasty', 'plus', 'high', 'fat', 'taste', 'find', 'want', 'perfect', 'healthy', 'nutrition', 'chip', 'good']",these chips are the only ones i found to be tasty and healthy. they have fewer fat calories plus higher fiber for those who want good taste and nutrition--the perfect blend!
11,positive,27/6/21,"['longer', 'delicious', 'fresh', 'buy', 'also', 'there', 'find', 'again', 'use', 'healthy', 'box', 'chip', 'carry', 'supermarket', 'local']","i used to buy these at the local supermarket, but they are no longer carried there.  finding them on amazon i purchased a box and found they were fresh and delicious as i remembered.  for chips they are also very healthy.  i definately will buy them again."
12,positive,21/7/21,"['also', 'enthusiastically', 'liver', 'fill', 'perfect', 'bill', 'recipe', 'epileptic', 'problem', 'make', 'dog', 'seizure', 'train', 'possible', 'without', 'give', 'wheat', 'feed', 'muck', 'trigger', 'healthy', 'treat', 'look']","i've been feeding liver biscotti for years. i was looking for a healthy treat without additives for my epileptic dog (additives can be a seizure trigger) and liver biscotti filled the bill. the ingredients are top-quality. the bite-size bits are perfect for training and don't muck up your pockets. the bite-size portions also make it possible to give rewards without adding pounds, which is a problem with other treats.  and for dogs with wheat and other sensitivities, there is an anti-allergenic recipe. enthusiastically recommended!"
13,positive,18/6/21,"['snack', 'suppose', 'highly', 'taste', 'got', 'seem', 'eat', 'gluten', 'recommend', 'potato', 'chip', 'great', 'much', 'look', 'regular']","i got these for my gf as she isn't supposed to eat any gluten.  all of the flavors taste great and they seem to be much healthier than regular potato chips.  if you are looking for a gluten-free snack, i highly recommend popchips!"
14,positive,7/7/21,"['free', 'them', 'try', 'greasy', 'chip', 'see', 'less', 'remind', 'sample', 'regular', 'swap']","i have a free sampling of these chips and i can see me swapping them for my regular chip cravings. they remind me of munchos, but are less greasy. try them."
15,positive,30/6/21,"['stay', 'second', 'them', 'everyone', 'tried', 'hotel', 'office', 'chip', 'order']","i tried this chips in a hotel that i stayed at, and loved them! i ordered them for the office and everyone enjoyed them. i'm on my second order!"
16,positive,1/7/21,"['seat', 'cream', 'absolutely', 'pop', 'alternative', 'crave', 'onion', 'sour', 'healthy', 'fatty', 'all', 'chip', 'pepper', 'salt', 'love', 'regular']","i absolutely love pop chips as a healthy alternative to regular, fatty chips.  the seat salt and pepper and the sour cream and onion are my favorites.  i don't crave regular chips at all!"
17,positive,24/8/21,"['never', 'aisle', 'strong', 'also', 'even', 'day', 'flavor', 'shortly', 'pack', 'afraid', 'town', 'avoid', 'bag', 'lay', 'deliver', 'cannot', 'local', 'knock', 'delicious', 'sharp', 'last', 'crunch', 'buy', 'however', 'combine', 'garlic', 'entirely', 'think', 'didnt', 'snack', 'mean', 'pick', 'crisp', 'need', 'go', 'week', 'low', 'potato', 'chip', 'help', 'half', 'say', 'pretty', 'many', 'almost', 'you', 'enough', 'can', 'be', 'consume', 'stock', 'try', 'healthy', 'these', 'first', 'know', 'month', 'bold', 'entire']","i picked up a few bags of these at my local heb and couldnt help but consume half of a bag in a day. the entire stock didnt last even a week for me.<br /><br />many chips say they have a bold flavor but they never deliver. these, however, do. i tried the garlic parmessan chips and the first things i thought was how strong and delicious the parmessan was.. shortly followed by a garlic flavor. combined with a sharp crunch, i cannot have enough of these chips. i'm almost afraid to buy a 24 pack because i know they won't last a month.<br /><br />it also helps that these things are pretty healthy for you. i mean, they are a potato crisp so you can't be entirely guilt-free... but i don't knock myself for going to town. i just avoid the potato chip aisle these are on when i need to lay low on the snack foods ;)"
18,positive,21/7/21,"['snack', 'make', 'work', 'vend', 'sustenance', 'healthy', 'stuck', 'always', 'machine', 'chip', 'great', 'love']",i love these chips! they always make a great healthy snack when i'm stuck at work with just the vending machine for sustenance.
19,positive,25/6/21,"['regime', 'whatever', 'sun', 'think', 'diet', 'texture', 'plywood', 'would', 'heart', 'chip', 'potato', 'salt', 'good', 'substitute', 'oil', 'style', 'except', 'healthy', 'add', 'nearly', 'corn', 'sheet', 'usual']","the 'sun chips' are an ok substitute for the usual potato, corn, whatever chip cooked in oil and over salted.  they are not nearly as un-palatable as i thought they would be.  have added them to my 'heart healthy' diet regime.  all are good except for the 'multi-grain' style, which has the texture of a sheet of plywood."
20,positive,13/9/21,"['also', 'pack', 'bad', 'they', 'really', 'version', 'variety', 'recommend', 'not', 'them', 'want', 'now', 'would', 'chip', 'probably', 'fun', 'good', 'regular', 'give', 'get', 'highly', 'nearly']","this chips are really good and it's fun getting the variety pack.  now, are they as good as ""regular"" chips?  probably not, but they're also not nearly as fattening and bad for you as regular chips.  given that these are a healthier version if you want chips, i would highly recommend them!"
21,positive,18/6/21,"['pack', 'fat', 'bag', 'value', 'cal', 'favorite', 'snack', 'time', 'chip', 'pepper', 'salt', 'vinegar', 'good', 'without', 'give', 'glad', 'discover', 'get', 'taste', 'except', 'try', 'healthy', 'these', 'first', 'great']","tried the bbq popchips for the first time and loved them so got the value pack to try more flavors. loved them all except the salt and pepper chips which weren't that great. good healthy snack without giving up the taste. so glad i discovered these! salt and vinegar are my favorite! 100 cal/bag, 3.5g fat/bag"
22,positive,7/7/21,"['rarely', 'work', 'teach', 'sugar', 'thick', 'least', 'ate', 'today', 'eat', 'refrigerator', 'whole', 'natural', 'she', 'reward', 'longer', 'dog', 'time', 'go', 'would', 'right', 'see', 'good', 'you', 'enough', 'get', 'tool', 'seem', 'stash', 'these', 'like', 'entire', 'bake', 'excited', 'overweight', 'also', 'peanut', 'inhale', 'hopefully', 'refine', 'think', 'fact', 'second', 'them', 'put', 'say', 'give', 'one', 'treat', 'another', 'color', 'wide', 'back', 'they', 'yesterday', 'fraction', 'sure', 'son', 'tiny', 'might', 'appear', 'visualize', 'use', 'later', 'make', 'artificial', 'technique', 'salt', 'be', 'small', 'follow', 'taste', 'little', 'healthy', 'add', 'although', 'maybe', 'family', 'come', 'food', 'large', 'butter', 'may', 'full', 'train', 'probably', 'half', 'take', 'him', 'that', 'floor']","we'll see how these work out in our family over time. i'm not sure that i am disciplined enough to make good use of them, although it might be a good technique for teaching my dog. they appear to be good for what they are, a very tiny, but healthy, reward. right now i can visualize them being used as a reward for following commands, a training tool. i was surprised at how tiny these treats were. they seem to taste good enough, but they are miniscule! they are just a fraction longer than a small paperclip and about half as wide, maybe 1/4 as thick.<br /><br />my dog was a little annoyed, but took it when i gave it to him. that was yesterday. today he came in excited to get his ""treat"", looked at it as if to say, ""you've got to be kidding!"" then he took it and ate it. a little later i offered him another one. he put it on the floor and looked hopefully at his stash of larger treats, but when he didn't get one, he went back and took this one.<br /><br />i think these might be good for rewards for obeying commands. treats? that's stretching it.<br /><br />they may also be good for my son's dog who rarely gets treats because she's overweight and would eat the whole entire refrigerator full of food if allowed. at least she would get a treat. large treats take her 5 seconds. she'll probably inhale these, one second max.<br /><br />i like the fact that these are low-fat, with no added salt, no refined sugar, no artificial flavors, colors or preservatives. it says, ""treats baked with natural peanut butter."""
23,positive,15/7/21,"['thankful', 'come', 'old', 'two', 'find', 'along', 'sodium', 'residue', 'hard', 'vegetable', 'pesticide', 'too', 'snack', 'time', 'low', 'much', 'top', 'off', 'organic', 'free', 'know']","i am a mom of 3 kids. with my older two i had such a hard time finding a snack for them that didn't have so much sodium! when my 3rd came along, happyfamily introduced happymunchies. i was so thankful to find a snack low in sodium and with a vegetable too! and to top it off, it is organic so i know it is free of pesticide residue and gmos!"
24,positive,11/7/21,"['also', 'everywhere', 'size', 'old', 'themselves', 'baby', 'food', 'suck', 'son', 'pouch', 'store', 'let', 'easy', 'nothing', 'eat', 'toddler', 'sit', 'love', 'subscribe', 'later', 'them', 'fruit', 'much', 'good', 'case', 'without', 'big', 'small', 'one', 'organic', 'take', 'tested', 'feed', 'free', 'bulk', 'plum', 'little', 'healthy', 'squeeze', 'rather', 'add', 'save', 'handle', 'like']","we love these baby food things in a little pouch. sooooo much easier to feed to a baby or toddler on the go. our son loves sucking the fruit out and we are pleased that it is both organic and healthy with nothing added - just fruit. for smaller ones, not good to let them handle it themselves, because they love to squeeze it, which gets things everywhere. but older ones can feed to themselves. i like the 3.17 size rather than the bigger one that plum organics has for some of the other flavors. it assures that he will eat all or most of it in one sitting rather than having to save some for later. you can also take this size on airplanes without having to have it tested for explosives - not the case with the bigger pouches. i also like that it is bpa free. if your little one likes them, ordering in bulk and with subscribe and save makes them much cheaper than at the store."
25,positive,7/10/21,"['deal', 'work', 'make', 'great', 'instead', 'one', 'buy', 'muffin', 'easy', 'mix', 'box', 'water', 'that', 'love', 'supermarket', 'per']","i love vitamuffins, but my supermarket sells one box of 4 muffins for $6.29.  instead i bought the mix, 3 boxes for $16.00, and each box makes 12 muffins. instead of $1.62 per muffin, the mix only requires water & eggs and works out to about 48 cents per muffin, and very easy to make. that's a great deal."
26,positive,6/7/21,"['bland', 'breakfast', 'bake', 'especially', 'cut', 'fresh', 'bad', 'fat', 'they', 'sugar', 'local', 'anything', 'fuel', 'quite', 'happy', 'send', 'midmorning', 'indulgence', 'generally', 'snack', 'laden', 'amount', 'chocolate', 'good', 'well', 'glad', 'muffin', 'one', 'get', 'school', 'elsewhere', 'extra', 'healthy', 'treat', 'approve', 'corn', 'junk', 'bakery', 'look', 'like']","i generally like vitalicious products. the corn muffin, well, for 100 calories it's not bad. but if you are expecting anything like the sugar/fat laden junk that your local bakery sells, look elsewhere. this is like a healthy makeover that doesn't quite cut it, but they're not bad. for the same amount of calories, the chocolate one is more of an indulgence, but this one is good for a bland breakfast treat, especially baked fresh.<br />my kids are happy to get any extra snacks, so they approve...i send with them to school for a midmorning snack. im glad they get fuel and vitamins."
27,positive,18/6/21,"['prone', 'lamb', 'tasty', 'even', 'something', 'flavor', 'formula', 'tell', 'vet', 'food', 'specifically', 'store', 'however', 'lot', 'fishy', 'eat', 'salmon', 'may', 'numerous', 'diet', 'trainer', 'consider', 'dog', 'due', 'wellness', 'artificial', 'smelt', 'probably', 'much', 'good', 'pet', 'well', 'ear', 'extremely', 'paw', 'unfortunately', 'taste', 'little', 'try', 'rather', 'new', 'allergy', 'rice', 'sacrifice']","my dog had been prone to ear infections and did a lot of paw chewing when his vet recommended changing his diet because his symptoms may be due to a food allergy. she specifically recommended the salmon and rice formula. unfortunately, my dog hated the salmon and rice and it smelt extremely fishy. i tried the lamb and rice formula and he likes it much better. i've heard numerous good things about wellness from my dog trainer, as well as other pet owners and pet store employees. my dog is adjusting to the new food well. however, i can tell he doesn't consider it the most tasty of choices- probably because it doesn't have the artificial flavoring in it. but i'd rather him eat something much healthier even if we have to sacrifice a little on the taste."
28,positive,7/7/21,"['span', 'length', 'be', 'see', 'these', 'video', 'watch', 'class', 'great', 'really', 'tiny']","<span class=""tiny""> length:: 1:00 mins<br /><br /></span>these cookies are so great! watch our video to see how great they really are!!!"
29,positive,27/7/21,"['course', 'never', 'finally', 'point', 'homemade', 'day', 'part', 'glossy', 'improvement', 'vet', 'disease', 'puppy', 'veterinarian', 'show', 'strongly', 'coat', 'able', 'weight', 'cleaning', 'meat', 'plus', 'oppose', 'veterinary', 'life', 'nothing', 'actually', 'watch', 'worth', 'diet', 'dramatic', 'honest', 'make', 'dog', 'giardia', 'holistic', 'preparation', 'choose', 'aggressive', 'completely', 'credit', 'time', 'kibble', 'would', 'much', 'good', 'cook', 'road', 'report', 'almost', 'coccidia', 'inflammatory', 'take', 'get', 'extremely', 'feed', 'treatment', 'raw', 'extra', 'after', 'perhaps', 'healthy', 'mismanagement', 'prepare', 'add', 'total', 'first', 'consider', 'sick', 'bowel', 'cooking']","actually, sojo's strongly recommends that the meat you add to their mixes be raw, but it an be cooked as i choose to do.  my dog arrived with coccidia and giardia as a puppy.  through veterinary mismanagement, he was never completely healthy for the first 2 1/2 years of his life.  after watching him get sicker on an aggressive course of antibiotics and prednisone for his inflammatory bowel disease, i took him to a holistic veterinarian.  part of his treatment has been a homemade diet of sojo's and meat plus no medications.  i'm extremely pleased to report he has had no gi episodes in over 6 months and has reached a point where i consider him healthy.  his coat is glossy and much fluffier than before he's finally at a good weight.  i have before and after photos that show a dramatic improvement,much of which i credit to sojo's.<br /><br />it does take some extra time to prepare as opposed to kibble, but i make 4 days worth at a time. this takes me about 30 - 40 minutes total which includes down time while the meat is cooking and cleaning up after.  to be completely honest, i'm not thrilled about cooking for my dog but i am thrilled with the results.  if i was able to feed him raw (perhaps down the road, when our vet gives the ok), preparation time would  be almost nothing."
30,positive,13/7/21,"['bake', 'also', 'stir', 'along', 'fry', 'really', 'anything', 'bread', 'price', 'think', 'diet', 'must', 'ingredient', 'put', 'sunflower', 'good', 'organic', 'wheat', 'flour', 'routine', 'healthy']","it's also a routine baking ingredient. i put it into my bread along with sunflower seeds and organic wheat flour. i also put it into my smoothie, stir fry dishes....anything you can think of! good price and really, it's a must have for a healthy diet!"
31,positive,13/9/21,"['delicious', 'snack', 'crunch', 'healthy', 'try', 'agree', 'chip', 'almond', 'well']",i have tryed the almond crunch and is delicious and healthy snack better than chips try it you'll agree
32,positive,7/9/21,"['green', 'powder', 'tea', 'product', 'lemon', 'plain', 'health', 'fruit', 'ginger', 'love', 'use']",i use the powdered tea powder in my fruit smoothies.  provides you all the health benefits of green tea.  love the product and use both the plain and lemon ginger.
33,positive,17/4/21,"['nice', 'never', 'flavor', 'lemon', 'warmed', 'bottle', 'packet', 'quite', 'ginger', 'tea', 'brewing', 'now', 'water', 'good', 'you', 'without', 'green', 'give', 'load', 'taste', 'metabolism', 'bother', 'add', 'great']","green tea is good for you, loaded with antioxidants, boosts your metabolism, yadda, yadda, yadda, but i never quite warmed up to the taste.  until now.  the lemon and the ginger give this a very nice flavor.  and it is so great that i can just add a packet to my water bottle and go, without the bother of brewing it."
34,positive,10/3/21,"['whenever', 'nice', 'especially', 'fiber', 'high', 'even', 'flavor', 'cereal', 'bran', 'sugar', 'broken', 'food', 'own', 'really', 'eaten', 'dietary', 'frost', 'lose', 'crunch', 'berry', 'lot', 'sale', 'eat', 'apart', 'list', 'price', 'too', 'grape', 'per', 'horrendous', 'make', 'cardboard', 'usually', 'bar', 'bonus', 'texture', 'oatmeal', 'tried', 'kashi', 'several', 'serve', 'low', 'typically', 'right', 'the', 'yeast', 'help', 'raisin', 'though', 'kitty', 'this', 'good', 'decent', 'yes', 'enough', 'one', 'wheat', 'next', 'close', 'cat', 'calorie', 'taste', 'plain', 'line', 'certainly', 'grocery', 'try', 'health', 'bottom', 'add', 'litter', 'yet', 'compare', 'like']","i eat a lot of cereal, and that includes a lot of the high-fiber kinds. oatmeal, mini (frosted) shredded wheat and raisin bran are usually what i'd eat when i needed to lose a few lbs., but there have been a few instances where i tried the ""healthier"" options. i've tried several of the kashi cereals, but they weren't very appetizing. the plain one had a cardboard taste. next, i tried grape nuts, which is like a horrendous yeast flavored cat food (though it's closer to kitty litter in texture.) that brings me to fiberplus antioxidants.<br /><br />this berry yogurt crunch is certainly one of the better tasting high-fiber cereals i've eaten. it's like a decent health bar broken apart into cereal. the clusters of yogurt really help, but even the plain cereal is decent enough on its own. yes, there are 12g of sugar per serving, but the 10g of fiber and 170 calorie parts more than make up for it. especially if you compare it to raisin bran and frosted shredded wheat, which are typically higher in sugar and calories, yet lower in dietary fiber. the antioxidants are a nice bonus, too.<br /><br />the bottom line is that i'll add this to my grocery list whenever it's on sale or the price is right."
35,positive,17/4/21,"['high', 'day', 'market', 'old', 'food', 'count', 'veterinarian', 'mature', 'longevity', 'lot', 'happy', 'prescription', 'young', 'year', 'enjoy', 'new', 'best', 'natural', 'diet', 'quality', 'overfeed', 'adult', 'them', 'put', 'indoor', 'regardless', 'go', 'science', 'active', 'know', 'urine', 'graze', 'crack', 'one', 'organic', 'since', 'cat', 'seem', 'healthy', 'try', 'junk']","i don't know why science diet is being referred to as junk food, as it is one of the higher quality foods on the market. a lot of the new organic and natural cat foods are not as healthy for pets as they are cracked up to be. but regardless, my veterinarian wanted me to put my 2 year old cat on a prescription food because of the high count of crystals in her urine. after some comparisons, science diet mature adult active longevity is the closest to the prescription food. both my cats, the younger one and the older (10) are on this food and they seem to enjoy it. they both graze all day and are indoor cats so i try my best not to overfeed them. my younger cat has not had issues with her urine since she went on this food and we are all happy :)"
36,positive,21/1/21,"['fiber', 'sandwich', 'also', 'door', 'size', 'fat', 'they', 'unless', 'alternative', 'true', 'brand', 'sugar', 'name', 'noticeably', 'convenience', 'really', 'hard', 'delicious', 'bit', 'ship', 'plus', 'stop', 'guilty', 'note', 'overall', 'best', 'recommend', 'enjoy', 'major', 'love', 'guess', 'snack', 'excellent', 'similar', 'every', 'want', 'serve', 'occasional', 'awesome', 'good', 'expensive', 'almost', 'you', 'write', 'give', 'definitely', 'elsewhere', 'pleasure', 'try', 'type', 'look', 'chocolate', 'three']","these chocolate sandwich creme cookies by whonu? are every bit as delicious as similar brands but they are healthier for you. true, they have almost the same sugar, fat and carb amounts of the best-known name brand of these cookies; but as others have noted they also give you fiber with noticeably more vitamins and minerals than that other brand. this is a plus!<br /><br />they're really good as a snack and it's hard to stop at the serving size of just three cookies; but i guess i'm allowed an occasional guilty pleasure! as i write this they are a bit too expensive on this website; try looking for these cookies elsewhere unless you want the convenience of having them shipped to your door.<br /><br />overall, these awesome chocolate sandwich creme cookies by whonu? are the best! i definitely recommend them as an excellent, healthier alternative to the major name brand of this type of cookie.<br /><br />i love `em! enjoy!"
37,positive,30/1/21,"['else', 'also', 'still', 'something', 'fat', 'brownie', 'bit', 'recipe', 'buy', 'use', 'otherwise', 'usually', 'low', 'chip', 'case', 'mix', 'dry', 'little', 'add', 'chocolate', 'like']",we like this brownie mix and i usually use the low fat recipe on it. i also add chocolate chips or something else to it otherwise it ends up a little bit dry.<br /><br />we still buy this by the case.
38,positive,13/2/21,"['never', 'improvement', 'flax', 'seed', 'whole', 'minimize', 'make', 'real', 'time', 'texture', 'cocoa', 'good', 'big', 'wheat', 'flour', 'little', 'add', 'first', 'like']","these brownies are good, but the flax seed texture can be a real turn-off.  to minimize it, i added a little whole wheat flour, splenda and cocoa - big improvement and my guests never complained (like they did the first time i made the brownies!)."
39,positive,15/1/21,"['still', 'cost', 'day', 'they', 'old', 'flavor', 'fill', 'nutrient', 'daughter', 'bit', 'light', 'easy', 'eat', 'worth', 'snack', 'full', 'teeth', 'ago', 'them', 'travel', 'much', 'order', 'good', 'well', 'take', 'get', 'fluffy', 'anywhere', 'first', 'yet', 'although', 'month', 'like']","we just got our first order a few days ago, and my 10 month old daughter loves them! they're just like the gerber mini veggies, but much cheaper. although they still cost a good bit, having a nutrient filled, easy to take anywhere travel snack is well worth it. my daughter doesn't have any teeth yet, and she hasn't had any problems eating them. they're light and fluffy, yet full of flavor."
40,positive,6/3/21,"['face', 'sandwich', 'pack', 'expiration', 'sure', 'speciality', 'sell', 'stop', 'out', 'open', 'price', 'base', 'crunchy', 'carry', 'use', 'month', 'excellent', 'make', 'cardboard', 'usually', 'area', 'chip', 'date', 'good', 'taste', 'rice', 'like']","i am not sure why the 2 speciality stores in my area stopped carrying these as they were usually sold out. the cakes are 18 calories, crunchy and good--not like the cardboard taste of thicker rice cakes. excellent as a base for pb&j, or to make an open face sandwich, or to use in pieces like a chip for dips, etc. good price on the 12 pack with a 10 month expiration use date."
41,positive,8/6/21,"['dense', 'peanut', 'delicious', 'weight', 'eat', 'butter', 'recommend', 'watch', 'cover', 'base', 'those', 'full', 'air', 'exactly', 'same', 'not', 'serve', 'usual', 'regular', 'thinner', 'highly', 'rice']",i purchased these based on others recommendations. the rice cakes are delicious. thinner than the usual rice cakes in the supermarkets. dense...not full of air. i covered them with pb2 (those watching their weight can eat peanut butter for 45 calories a serving vs 190 for regular pb and it tastes exactly the same). i too highly recommend these rice cakes.
42,positive,7/1/21,"['many', 'research', 'unhealthy', 'dog', 'even', 'get', 'out', 'dry', 'spend', 'find', 'diamond', 'food', 'great']","over 90% of dry dog food is very unhealthy and can not even get 1 or 2 stars out of 5 or 6. diamond naturals is a great food. i have 6 afghans and i've spent many, many hours of research to find this out."
43,positive,17/4/21,"['anyone', 'old', 'easily', 'year', 'recommend', 'cinnamon', 'feel', 'snack', 'pick', 'would', 'apple', 'good', 'well', 'offer', 'small', 'definitely', 'taste', 'great', 'month']",this is a very good snack that i feel great about offering my 10 month old.  she can easily  pick up the small pieces and definitely enjoys the apple cinnamon taste.  my 5 year old loves them as well!  i would definitely recommend these to anyone with small (or larger) kids.  :)
44,negative,10/3/21,"['course', 'capful', 'maintain', 'malt', 'what', 'mill', 'banana', 'high', 'also', 'something', 'flavor', 'fat', 'even', 'sugar', 'long', 'value', 'food', 'all', 'finish', 'really', 'ounce', 'freshness', 'milk', 'failure', 'hungry', 'basically', 'business', 'poor', 'lot', 'eat', 'enjoy', 'whole', 'please', 'price', 'may', 'container', 'per', 'use', 'lots', 'include', 'real', 'them', 'drawback', 'slice', 'people', 'salt', 'yes', 'almost', 'germ', 'protein', 'wrong', 'saturate', 'give', 'syrup', 'synthetic', 'get', 'skim', 'wheat', 'big', 'one', 'take', 'package', 'preserve', 'little', 'yummy', 'health', 'nutrition', 'iron', 'minute', 'corn', 'add', 'inner', 'stuff', 'fructose', 'range', 'like']","something to eat if you're starving - but please give real food to hungry people,<br /><br />what's in kellogg's corn flakes? ""milled corn, sugar, malt flavoring, high fructose corn syrup, salt."" yes, of course, it also has lots of yummy preservatives such as bht and a few synthetic vitamins and iron in minute quantities. for nutrition you get basically 100% carbs from lots of sugar and almost no protein. add skim milk, or you'll get saturated fat with a little protein from whole milk. for added nutrition, include a sliced banana and a capful of wheat germ.<br /><br />if you like corn flakes, that is your business and you should enjoy them, but this is not health food and it is a very poor value for more than 0.29 cents an ounce [$3.49 per package]. at this price, the inner package's failure to maintain freshness is an even bigger drawback when one thinks of how long it may take to finish 12 ounces of this stuff. why not use a vacuum-sealed container like kretschmer's wheat germ to preserve freshness? after all, it's in the same price range!<br /><br />so if you are hungry, you are really eating the wrong stuff. something to eat if you are starving - but please give real food to other hungry people please!"
45,positive,14/1/21,"['break', 'strong', 'sandwich', 'high', 'also', 'even', 'flavor', 'lemon', 'fill', 'egg', 'omega', 'mayonnaise', 'fry', 'skinless', 'bit', 'sell', 'meal', 'neutral', 'oily', 'item', 'fishy', 'opinion', 'think', 'versatile', 'time', 'want', 'oatmeal', 'fish', 'texture', 'salad', 'low', 'much', 'salt', 'good', 'well', 'absence', 'protein', 'without', 'big', 'be', 'bank', 'fairly', 'oil', 'patty', 'mix', 'taste', 'onion', 'useful', 'stock', 'add', 'although', 'sometimes', 'like']","sardines are a useful item to stock for times when you want to add a bit of protein to your meal without breaking the bank. i like that they are lower in mercury than big fish are, and high in omega fats. the skinless ones are much better tasting in my opinion--regular sardines taste a bit too oily, fishy, and strong to me. they are fairly neutral with the absence of added oil or much salt and this makes them versatile--i sometimes add lemon and mayonnaise for a sandwich filling, mix with egg, oatmeal, onion and lemon and fry for a fish patty, or add them to a salad. although i think these from roland are very good, i liked the seasons skinless sardines, which are also sold by amazon, even better for flavor and texture."
46,positive,24/5/21,"['deep', 'thank', 'still', 'product', 'get', 'them', 'pack', 'soy', 'sea', 'salt', 'goodness', 'ounce', 'carry']","stores are not carrying this product - thank goodness i can still get them!!!!<a href=""http://www.amazon.com/gp/product/b000cmhmuc"">genisoy soy crisps, deep sea salted, 3.85-ounce bags (pack of 12)</a>"
